Customer_ID,Counter_ID,Start_Time,End_Time
158,high,2018-09-03T07:27:19,2018-09-03T08:03:19
48,high,2018-09-03T08:03:19,2018-09-03T09:02:19
73,high,2018-09-03T09:02:19,2018-09-03T10:48:19
80,high,2018-09-03T10:48:19,2018-09-03T12:45:19
196,high,2018-09-03T12:45:19,2018-09-03T14:14:19
71,high,2018-09-03T14:14:19,2018-09-03T15:45:19
99,high,2018-09-03T15:45:19,2018-09-03T17:12:19
143,high,2018-09-03T17:12:19,2018-09-03T18:10:19
57,high,2018-09-03T18:10:19,2018-09-03T19:21:19
145,high,2018-09-03T19:21:19,2018-09-03T21:18:19
7,high,2018-09-03T21:18:19,2018-09-03T21:33:19
86,high,2018-09-03T21:33:19,2018-09-03T21:39:19
120,high,2018-09-03T21:39:19,2018-09-03T22:11:19
68,high,2018-09-03T22:11:19,2018-09-03T23:09:19
119,high,2018-09-03T23:09:19,2018-09-04T01:04:19
60,high,2018-09-04T01:04:19,2018-09-04T02:12:19
77,high,2018-09-04T02:12:19,2018-09-04T02:21:19
101,high,2018-09-04T02:21:19,2018-09-04T04:17:19
2,high,2018-09-04T04:17:19,2018-09-04T06:04:19
75,high,2018-09-04T06:04:19,2018-09-04T07:14:19
113,high,2018-09-04T07:14:19,2018-09-04T08:32:19
126,high,2018-09-04T08:32:19,2018-09-04T10:31:19
135,high,2018-09-04T10:31:19,2018-09-04T10:38:19
8,high,2018-09-04T10:38:19,2018-09-04T12:16:19
109,high,2018-09-04T12:16:19,2018-09-04T13:58:19
180,high,2018-09-04T13:58:19,2018-09-04T15:30:19
72,high,2018-09-04T15:30:19,2018-09-04T16:59:19
20,high,2018-09-04T16:59:19,2018-09-04T18:52:19
296,medium,2018-09-03T08:27:13,2018-09-03T10:21:13
357,medium,2018-09-03T10:21:13,2018-09-03T11:35:13
54,high,2018-09-04T18:52:19,2018-09-04T20:40:19
161,high,2018-09-04T20:40:19,2018-09-04T22:23:19
308,medium,2018-09-03T11:35:13,2018-09-03T13:08:13
621,medium,2018-09-03T13:08:13,2018-09-03T13:28:13
417,medium,2018-09-03T13:28:13,2018-09-03T14:11:13
388,medium,2018-09-03T14:11:13,2018-09-03T14:26:13
672,medium,2018-09-03T14:26:13,2018-09-03T15:44:13
322,medium,2018-09-03T15:44:13,2018-09-03T17:05:13
348,medium,2018-09-03T17:05:13,2018-09-03T18:29:13
671,medium,2018-09-03T18:29:13,2018-09-03T18:39:13
206,medium,2018-09-03T18:39:13,2018-09-03T20:34:13
540,medium,2018-09-03T20:34:13,2018-09-03T20:59:13
680,medium,2018-09-03T20:59:13,2018-09-03T21:31:13
321,medium,2018-09-03T21:31:13,2018-09-03T21:44:13
159,high,2018-09-04T22:23:19,2018-09-04T23:33:19
516,medium,2018-09-03T21:44:13,2018-09-03T23:10:13
104,high,2018-09-04T23:33:19,2018-09-05T01:15:19
3,high,2018-09-05T01:15:19,2018-09-05T02:25:19
